"Id","name_clean","PAIS","perc_occ","threshold","cumple","RankcA1","NormcA1"
"1",8807,"Espeletia annemariana","COLOMBIA",0.277777777777778,0.18,"Yes",1,0.0434782608695652
"2",8954,"Espeletia annemariana","COLOMBIA",0.111111111111111,0.18,"Yes",3,0.130434782608696
"3",8960,"Espeletia annemariana","COLOMBIA",0.0555555555555556,0.18,"Yes",4,0.173913043478261
"4",9106,"Espeletia annemariana","COLOMBIA",0.166666666666667,0.18,"Yes",2,0.0869565217391304
"5",9721,"Espeletia annemariana","COLOMBIA",0.111111111111111,0.18,"Yes",3,0.130434782608696
"6",9722,"Espeletia annemariana","COLOMBIA",0.0555555555555556,0.18,"Yes",4,0.173913043478261
"7",9875,"Espeletia annemariana","COLOMBIA",0.166666666666667,0.18,"Yes",2,0.0869565217391304
"8",11240,"Espeletia annemariana","COLOMBIA",0.0555555555555556,0.18,"Yes",4,0.173913043478261
"9",8042,"Espeletia arbelaezii","COLOMBIA",0.03125,0.32,"Yes",5,0.113636363636364
"10",8498,"Espeletia arbelaezii","COLOMBIA",0.03125,0.32,"Yes",5,0.113636363636364
"11",8650,"Espeletia arbelaezii","COLOMBIA",0.15625,0.32,"Yes",3,0.0681818181818182
"12",8802,"Espeletia arbelaezii","COLOMBIA",0.0625,0.32,"Yes",4,0.0909090909090909
"13",8803,"Espeletia arbelaezii","COLOMBIA",0.3125,0.32,"Yes",1,0.0227272727272727
"14",9107,"Espeletia arbelaezii","COLOMBIA",0.0625,0.32,"Yes",4,0.0909090909090909
"15",9258,"Espeletia arbelaezii","COLOMBIA",0.03125,0.32,"Yes",5,0.113636363636364
"16",9408,"Espeletia arbelaezii","COLOMBIA",0.21875,0.32,"Yes",2,0.0454545454545455
"17",9412,"Espeletia arbelaezii","COLOMBIA",0.03125,0.32,"Yes",5,0.113636363636364
"18",9721,"Espeletia arbelaezii","COLOMBIA",0.03125,0.32,"Yes",5,0.113636363636364
"19",10325,"Espeletia arbelaezii","COLOMBIA",0.03125,0.32,"Yes",5,0.113636363636364
"20",2866,"Espeletia arborea","VENEZUELA",0.444444444444444,0.09,"Yes",1,0.125
"21",3779,"Espeletia arborea","VENEZUELA",0.222222222222222,0.09,"Yes",2,0.25
"22",4084,"Espeletia arborea","VENEZUELA",0.222222222222222,0.09,"Yes",2,0.25
"23",4842,"Espeletia arborea","VENEZUELA",0.111111111111111,0.09,"Yes",3,0.375
"24",9111,"Espeletia ariana","COLOMBIA",1,0.03,"Yes",1,1
"25",8802,"Espeletia azucarina","COLOMBIA",0.75,0.04,"Yes",1,0.333333333333333
"26",8954,"Espeletia azucarina","COLOMBIA",0.25,0.04,"Yes",2,0.666666666666667
"27",8960,"Espeletia betancurii","COLOMBIA",1,0.02,"Yes",1,1
"28",8802,"Espeletia brachyaxiantha","COLOMBIA",0.03125,0.32,"Yes",5,0.161290322580645
"29",8952,"Espeletia brachyaxiantha","COLOMBIA",0.03125,0.32,"Yes",5,0.161290322580645
"30",8954,"Espeletia brachyaxiantha","COLOMBIA",0.4375,0.32,"Yes",1,0.032258064516129
"31",9106,"Espeletia brachyaxiantha","COLOMBIA",0.125,0.32,"Yes",2,0.0645161290322581
"32",9107,"Espeletia brachyaxiantha","COLOMBIA",0.125,0.32,"Yes",2,0.0645161290322581
"33",9405,"Espeletia brachyaxiantha","COLOMBIA",0.03125,0.32,"Yes",5,0.161290322580645
"34",9416,"Espeletia brachyaxiantha","COLOMBIA",0.0625,0.32,"Yes",4,0.129032258064516
"35",9870,"Espeletia brachyaxiantha","COLOMBIA",0.0625,0.32,"Yes",4,0.129032258064516
"36",9875,"Espeletia brachyaxiantha","COLOMBIA",0.09375,0.32,"Yes",3,0.0967741935483871
"37",1305,"Espeletia brassicoidea","COLOMBIA",0.0256410256410256,0.39,"Yes",5,0.0714285714285714
"38",5894,"Espeletia brassicoidea","COLOMBIA",0.0256410256410256,0.39,"Yes",5,0.0714285714285714
"39",6512,"Espeletia brassicoidea","COLOMBIA",0.0256410256410256,0.39,"Yes",5,0.0714285714285714
"40",6512,"Espeletia brassicoidea","VENEZUELA",0.0256410256410256,0.39,"Yes",5,0.0714285714285714
"41",6662,"Espeletia brassicoidea","COLOMBIA",0.102564102564103,0.39,"Yes",3,0.0428571428571429
"42",6663,"Espeletia brassicoidea","COLOMBIA",0.0769230769230769,0.39,"Yes",4,0.0571428571428571
"43",6665,"Espeletia brassicoidea","COLOMBIA",0.153846153846154,0.39,"Yes",1,0.0142857142857143
"44",6665,"Espeletia brassicoidea","VENEZUELA",0.102564102564103,0.39,"Yes",3,0.0428571428571429
"45",6666,"Espeletia brassicoidea","COLOMBIA",0.0256410256410256,0.39,"Yes",5,0.0714285714285714
