"","chao_ecosystem","W_Ecosystm","gridcode","Id","name_clean","PAIS","n_occ_sp_pixel","n_occ_sp_total","sp_pixel","repres","B2"
"1",27,"Cool Temperate Moist Cropland on Mountains",18,10319,"Espeletia argentea","COLOMBIA",9,213,6,0.222222222222222,"SI"
"2",27,"Cool Temperate Moist Cropland on Mountains",18,10319,"Espeletia barclayana","COLOMBIA",12,98,6,0.222222222222222,"SI"
"3",27,"Cool Temperate Moist Cropland on Mountains",18,10319,"Espeletia cayetana","COLOMBIA",1,12,6,0.222222222222222,"SI"
"4",27,"Cool Temperate Moist Cropland on Mountains",18,10319,"Espeletia chocontana","COLOMBIA",3,27,6,0.222222222222222,"SI"
"5",27,"Cool Temperate Moist Cropland on Mountains",18,10319,"Espeletia corymbosa","COLOMBIA",1,299,6,0.222222222222222,"SI"
"6",27,"Cool Temperate Moist Cropland on Mountains",18,10319,"Espeletia grandiflora","COLOMBIA",4,569,6,0.222222222222222,"SI"
"7",27,"Cool Temperate Moist Cropland on Mountains",18,11542,"Espeletia corymbosa","COLOMBIA",16,299,4,0.148148148148148,"SI"
"8",27,"Cool Temperate Moist Cropland on Mountains",18,11542,"Espeletia grandiflora","COLOMBIA",1,569,4,0.148148148148148,"SI"
"9",27,"Cool Temperate Moist Cropland on Mountains",18,11542,"Espeletia pleiochasia","COLOMBIA",1,56,4,0.148148148148148,"SI"
"10",27,"Cool Temperate Moist Cropland on Mountains",18,11542,"Espeletia × bogotensis","COLOMBIA",1,8,4,0.148148148148148,"SI"
"11",27,"Cool Temperate Moist Cropland on Mountains",18,17014,"Espeletia hartwegiana","COLOMBIA",1,277,3,0.111111111111111,"SI"
"12",27,"Cool Temperate Moist Cropland on Mountains",18,17014,"Espeletia pycnophylla","COLOMBIA",10,301,3,0.111111111111111,"SI"
"13",27,"Cool Temperate Moist Cropland on Mountains",18,17014,"Espeletia schultesiana","COLOMBIA",1,25,3,0.111111111111111,"SI"
"14",14,"Cool Temperate Moist Forest on Mountains",16,10781,"Espeletia argentea","COLOMBIA",1,213,4,0.285714285714286,"SI"
"15",14,"Cool Temperate Moist Forest on Mountains",16,10781,"Espeletia congestiflora","COLOMBIA",2,101,4,0.285714285714286,"SI"
"16",14,"Cool Temperate Moist Forest on Mountains",16,10781,"Espeletia corymbosa","COLOMBIA",14,299,4,0.285714285714286,"SI"
"17",14,"Cool Temperate Moist Forest on Mountains",16,10781,"Espeletia corymbosa","ECUADOR",1,299,4,0.285714285714286,"SI"
"18",14,"Cool Temperate Moist Forest on Mountains",16,10781,"Espeletia grandiflora","COLOMBIA",8,569,4,0.285714285714286,"SI"
"19",14,"Cool Temperate Moist Forest on Mountains",16,10782,"Espeletia argentea","COLOMBIA",2,213,4,0.285714285714286,"SI"
"20",14,"Cool Temperate Moist Forest on Mountains",16,10782,"Espeletia corymbosa","COLOMBIA",2,299,4,0.285714285714286,"SI"
"21",14,"Cool Temperate Moist Forest on Mountains",16,10782,"Espeletia grandiflora","COLOMBIA",5,569,4,0.285714285714286,"SI"
"22",14,"Cool Temperate Moist Forest on Mountains",16,10782,"Espeletia killipii","COLOMBIA",1,78,4,0.285714285714286,"SI"
"23",14,"Cool Temperate Moist Forest on Mountains",16,11240,"Espeletia annemariana","COLOMBIA",1,18,5,0.357142857142857,"SI"
"24",14,"Cool Temperate Moist Forest on Mountains",16,11240,"Espeletia argentea","COLOMBIA",1,213,5,0.357142857142857,"SI"
"25",14,"Cool Temperate Moist Forest on Mountains",16,11240,"Espeletia grandiflora","COLOMBIA",22,569,5,0.357142857142857,"SI"
"26",14,"Cool Temperate Moist Forest on Mountains",16,11240,"Espeletia killipii","COLOMBIA",2,78,5,0.357142857142857,"SI"
"27",14,"Cool Temperate Moist Forest on Mountains",16,11240,"Espeletia uribei","COLOMBIA",1,64,5,0.357142857142857,"SI"
"28",14,"Cool Temperate Moist Forest on Mountains",16,15798,"Espeletia hartwegiana","COLOMBIA",1,277,2,0.142857142857143,"SI"
"29",14,"Cool Temperate Moist Forest on Mountains",16,15798,"Espeletia idroboi","COLOMBIA",1,12,2,0.142857142857143,"SI"
"30",47,"Cool Temperate Moist Grassland on Mountains",19,3779,"Espeletia arborea","VENEZUELA",2,9,8,0.170212765957447,"SI"
"31",47,"Cool Temperate Moist Grassland on Mountains",19,3779,"Espeletia banksiifolia","VENEZUELA",2,2,8,0.170212765957447,"SI"
"32",47,"Cool Temperate Moist Grassland on Mountains",19,3779,"Espeletia bracteosa","VENEZUELA",4,18,8,0.170212765957447,"SI"
"33",47,"Cool Temperate Moist Grassland on Mountains",19,3779,"Espeletia floccosa","VENEZUELA",1,25,8,0.170212765957447,"SI"
"34",47,"Cool Temperate Moist Grassland on Mountains",19,3779,"Espeletia marthae","VENEZUELA",7,8,8,0.170212765957447,"SI"
"35",47,"Cool Temperate Moist Grassland on Mountains",19,3779,"Espeletia schultzii","VENEZUELA",6,338,8,0.170212765957447,"SI"
"36",47,"Cool Temperate Moist Grassland on Mountains",19,3779,"Espeletia tenorae","VENEZUELA",9,14,8,0.170212765957447,"SI"
"37",47,"Cool Temperate Moist Grassland on Mountains",19,3779,"Espeletia weddellii","VENEZUELA",6,35,8,0.170212765957447,"SI"
"38",19,"Cool Temperate Moist Shrubland on Mountains",15,9717,"Espeletia boyacensis","COLOMBIA",1,156,6,0.315789473684211,"SI"
"39",19,"Cool Temperate Moist Shrubland on Mountains",15,9717,"Espeletia guacharaca","COLOMBIA",5,46,6,0.315789473684211,"SI"
"40",19,"Cool Temperate Moist Shrubland on Mountains",15,9717,"Espeletia muiska","COLOMBIA",7,61,6,0.315789473684211,"SI"
"41",19,"Cool Temperate Moist Shrubland on Mountains",15,9717,"Espeletia murilloi","COLOMBIA",8,127,6,0.315789473684211,"SI"
"42",19,"Cool Temperate Moist Shrubland on Mountains",15,9717,"Espeletia pescana","COLOMBIA",2,26,6,0.315789473684211,"SI"
"43",19,"Cool Temperate Moist Shrubland on Mountains",15,9717,"Espeletia tunjana","COLOMBIA",7,47,6,0.315789473684211,"SI"
"44",19,"Cool Temperate Moist Shrubland on Mountains",15,9720,"Espeletia boyacensis","COLOMBIA",5,156,9,0.473684210526316,"SI"
"45",19,"Cool Temperate Moist Shrubland on Mountains",15,9720,"Espeletia congestiflora","COLOMBIA",2,101,9,0.473684210526316,"SI"
"46",19,"Cool Temperate Moist Shrubland on Mountains",15,9720,"Espeletia guacharaca","COLOMBIA",1,46,9,0.473684210526316,"SI"
"47",19,"Cool Temperate Moist Shrubland on Mountains",15,9720,"Espeletia jimenez-quesadae","COLOMBIA",1,26,9,0.473684210526316,"SI"
"48",19,"Cool Temperate Moist Shrubland on Mountains",15,9720,"Espeletia lopezii","COLOMBIA",6,98,9,0.473684210526316,"SI"
"49",19,"Cool Temperate Moist Shrubland on Mountains",15,9720,"Espeletia murilloi","COLOMBIA",5,127,9,0.473684210526316,"SI"
"50",19,"Cool Temperate Moist Shrubland on Mountains",15,9720,"Espeletia nemekenei","COLOMBIA",1,19,9,0.473684210526316,"SI"
"51",19,"Cool Temperate Moist Shrubland on Mountains",15,9720,"Espeletia oswaldiana","COLOMBIA",1,11,9,0.473684210526316,"SI"
"52",19,"Cool Temperate Moist Shrubland on Mountains",15,9720,"Espeletia tunjana","COLOMBIA",2,47,9,0.473684210526316,"SI"
"53",7,"Polar Moist Forest on Mountains",7,10916,"Espeletia hartwegiana","COLOMBIA",6,277,3,0.428571428571429,"SI"
"54",7,"Polar Moist Forest on Mountains",7,10916,"Espeletia roberti","COLOMBIA",1,19,3,0.428571428571429,"SI"
"55",7,"Polar Moist Forest on Mountains",7,10916,"Espeletia rositae","COLOMBIA",1,15,3,0.428571428571429,"SI"
"56",7,"Polar Moist Forest on Mountains",7,11985,"Espeletia hartwegiana","COLOMBIA",4,277,1,0.142857142857143,"SI"
