INFO_ORIGE,ID,COLLECTORS,PAIS,Locality,Habitat,Abundance,Plant_Desc,Min_Elevat,Max_Elevat,Averege_Elevat,SRTM90m,Average_STRM90M_STRM30M,Datum geodesico,LATITUDE,LONGITUD,Useful_mapping,GENUS,full_scien,name_clean,Tipo,Common_Nam,Repository,IUCN_RL_CO,IUCN_RL_cr,GEPC_Natio,GEPC_Nat_1,Native,Endemic
Diaz,Narv478,"Narvaez, Edwin",ECUADOR,"ECUADOR: Tungurahua Santiago de Pillario Parque Nacional Llanganates, faldas del Cerro Negro, valle de los frailejones.","Paramo humedo, parche de bosque de subparamo, rioca metamorfica. Bosque achaparrado dominado por Phoradendrion, Weinmannia y Espeletia.",no data,"Arbusto de 1.6 m, Ligulas amarillas, flores tubulares cafes. Colecciones en ribera de laguna de los frailejonales.",3500,3500,3500,3490,3501.5,WGS84,-1.17875,-78.26362,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,"US, MO, QCNE",LC,NA,LC,NA,Native,NA
Diaz,Mant33,"Mantuano, Manuel; DELETE 33",ECUADOR,"ECUADOR: Tungurahua. Santiago de Pillario. Parque Nacional Llanganates, valle de los frailejones.","Vegetacion arbustiva (Weinmannia, Cortaderia, Asteraceae, Neuriolepis, Ericaceae, frailejonales).",no data,"Arbusto 2 m Hojas con abundante pubescencia blanca (45 cm x 15 cm). Inflorescencia en cap??tulo, l??gula amarilla. Flores cafe-amarillento. In flower.",3500,3500,3500,3457,3476.5,WGS84,-1.17168,-78.24837,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,"US (MO), MO, QCNE",LC,NA,LC,NA,Native,NA
Diaz,Holm41686 B,"Holm-Nielsen, Lauritz Brioder; Brandbyge, J.; Barfod, A.",ECUADOR,"ECUADOR: Napo  Cordillera de los Llanganatis. Lower slope of Cerro Cresta del Gallo, wesTeran side of Laguna Encantada.",Espeletia forest.,no data,"No bgranching, to 8 m tall. Stem diameter 10 cm, old leaves persistent. Flowering in yearly cycles. Ray flowers yellow, disc flowers briownish.",3440,3440,3440,3413,3412,WGS84,-1.18278,-78.21329,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,US,LC,NA,LC,NA,Native,NA
Diaz,Edwa161,"Edwards, Peter John;  161",ECUADOR,"ECUADOR: Tungurahua. Valle de los Torres  Pendiente de 30 grados a un costado del lago Al pie de las montanas Llanganati, Cordillera Oriental.",Paramo,no data,Hasta 6 m de altura Lamina verde con tomento denso de color blanco; la coriona de hojas nace sobre el tallo. Trionco cubierto de hojas en inflorescencias secas Pedicelos cubiertos de pelos amarillentos distalmente. Bracteas cubiertas de pelos amarillento,3700,3700,3700,3696,3705,WGS84,-1.18039,-78.46792,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,"M, F, AAU",LC,NA,LC,NA,Native,NA
Diaz,Delg51,"Delgado, Tania; DELETE 51",ECUADOR,"ECUADOR: Tungurahua. Santiago de Pillario. Parque Nacional Llanganates, valle de los frailejones.","Vegetacion arbustiva (Weinmannia, Cortaderia, Asteraceae, Neuriolepis, Ericaceae, frailejonales).",no data,"Arbusto 2 m Hojas con abundante pubescencia blanca (45 cm x 15 cm). Inflorescencia en cap??tulo, l??gula amarilla. Flores cafe-amarillento. In flower.",3490,3490,3490,3684,3689.5,WGS84,-1.17851,-78.46712,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,"US (MO), MO, QCNE",LC,NA,LC,NA,Native,NA
Diaz,Aspl9944,"Asplund, E.; DELETE 9944",ECUADOR,ECUADOR: Tungurahua. Cordillera de los Llanganatis. Near Las Torres.,no data,no data,"4 m high, flowers yellow. HOLOTYPUS In flower.",3700,3800,3750,3818,3817.5,WGS84,-1.18572,-78.46331,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,"S, AAU",LC,NA,LC,NA,Native,NA
GBIF,3037033403,"Stancik, Daniel",ECUADOR,Dept. Tungur./Napo. Munic. Pillario. Las Llanganatis.,no data,no data,no data,0,0,0,3442,3438.5,no data,-1.16042,-78.24744,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
GBIF,1144672745,"Hartweg, K. T. (Coll. De Candolle)",ECUADOR,Equateur,no data,no data,no data,0,0,0,4212,4212.5,no data,-1.4275,-78.76694,1,Espeletia,Espeletia hartwegiana Sch.Bip. ex Wedd.,Espeletia hartwegiana,Especie,no data,no data,LC,NA,NA,NA,Native,NA
GBIF,3327991418,Andres Aguirre,ECUADOR,"San Fco. de Sigsipamba, Ecuador",no data,no data,no data,0,0,0,2770,2783.5,no data,0.3036,-77.89251,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
GBIF,3032007188,emiliaamayorga,ECUADOR,"Reserva Ecologica Cotacachi-Cayapas, Otavalo, Imbabura, EC",no data,no data,no data,0,0,0,3322,3319.5,no data,0.30493,-78.37887,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
GBIF,2988309771,sofianogales,ECUADOR,Reserva Sabia Esperanza,no data,no data,no data,0,0,0,3476,3480.5,no data,0.26762,-77.87607,1,Espeletia,Espeletia pycnophylla Cuatrec.,Espeletia pycnophylla,Especie,Frailejon,no data,LC,NA,LC,NA,Native,NA
